FrameCount	TimeStamp	FrameTs	SensorTs	ArrivalTs	TDT_Sample	TDT_status
1	2273393	2273393668	2273377568	1582397393955	44316	26.000
2	2273427	2273427006	2273410906	1582397393988	46301	26.000
3	2273460	2273460344	2273444244	1582397394023	46982	26.000
4	2273493	2273493682	2273477582	1582397394055	48158	20.000
5	2273527	2273527019	2273510919	1582397394088	49791	20.000
6	2273560	2273560357	2273544257	1582397394122	51414	20.000
7	2273593	2273593695	2273577595	1582397394155	53038	20.000
8	2273627	2273627032	2273610932	1582397394188	54663	20.000
9	2273660	2273660370	2273644270	1582397394222	56301	20.000
10	2273693	2273693708	2273677608	1582397394255	57925	20.000
11	2273727	2273727046	2273710946	1582397394288	59555	20.000
12	2273760	2273760383	2273744283	1582397394322	61200	20.000
13	2273793	2273793721	2273777621	1582397394355	62818	20.000
14	2273827	2273827059	2273810959	1582397394388	64443	20.000
15	2273860	2273860397	2273844297	1582397394422	66071	20.000
16	2273893	2273893734	2273877634	1582397394455	67691	20.000
17	2273927	2273927072	2273910972	1582397394488	69323	20.000
18	2273960	2273960410	2273944310	1582397394522	70953	20.000
19	2273993	2273993747	2273977647	1582397394555	72574	20.000
20	2274027	2274027085	2274010985	1582397394588	74218	20.000
21	2274060	2274060423	2274044323	1582397394622	75832	20.000
22	2274093	2274093761	2274077661	1582397394655	77457	20.000
23	2274127	2274127098	2274110998	1582397394688	79087	20.000
24	2274160	2274160436	2274144336	1582397394722	80715	20.000
25	2274193	2274193774	2274177674	1582397394755	82464	20.000
26	2274227	2274227111	2274211011	1582397394788	83973	20.000
27	2274260	2274260449	2274244349	1582397394822	85602	20.000
28	2274293	2274293787	2274277687	1582397394855	87278	20.000
29	2274327	2274327125	2274311025	1582397394888	88852	20.000
30	2274360	2274360462	2274344362	1582397394922	90480	20.000
31	2274393	2274393800	2274377700	1582397394955	92112	20.000
32	2274427	2274427138	2274411038	1582397394988	93736	20.000
33	2274460	2274460476	2274444376	1582397395022	95365	20.000
34	2274493	2274493813	2274477713	1582397395055	97076	20.000
35	2274527	2274527151	2274511051	1582397395089	98699	20.000
36	2274560	2274560489	2274544389	1582397395123	100328	20.000
37	2274593	2274593826	2274577726	1582397395156	101955	20.000
38	2274627	2274627164	2274611064	1582397395189	103582	20.000
39	2274660	2274660502	2274644402	1582397395223	105215	20.000
40	2274693	2274693840	2274677740	1582397395256	106815	20.000
41	2274727	2274727177	2274711077	1582397395290	108463	20.000
42	2274760	2274760515	2274744415	1582397395323	110019	20.000
43	2274793	2274793853	2274777753	1582397395356	111649	20.000
44	2274827	2274827191	2274811091	1582397395389	113354	20.000
45	2274860	2274860528	2274844428	1582397395423	114977	20.000
46	2274893	2274893866	2274877766	1582397395456	116608	20.000
47	2274927	2274927204	2274911104	1582397395489	118233	20.000
48	2274960	2274960541	2274944441	1582397395523	119830	20.000
49	2274993	2274993879	2274977779	1582397395556	121458	20.000
50	2275027	2275027217	2275011117	1582397395589	123090	20.000
51	2275060	2275060555	2275044455	1582397395623	124713	20.000
52	2275093	2275093892	2275077792	1582397395656	126290	20.000
53	2275127	2275127230	2275111130	1582397395689	127918	20.000
54	2275160	2275160568	2275144468	1582397395723	129546	20.000
55	2275193	2275193906	2275177806	1582397395756	131173	20.000
56	2275227	2275227243	2275211143	1582397395789	132802	20.000
57	2275260	2275260581	2275244481	1582397395823	134433	20.000
58	2275293	2275293919	2275277819	1582397395856	136059	20.000
59	2275327	2275327256	2275311156	1582397395889	137691	20.000
60	2275360	2275360594	2275344494	1582397395923	139314	20.000
61	2275393	2275393932	2275377832	1582397395956	141030	20.000
62	2275427	2275427270	2275411170	1582397395989	142569	20.000
63	2275460	2275460607	2275444507	1582397396023	144199	20.000
64	2275493	2275493945	2275477845	1582397396056	145822	20.000
65	2275527	2275527283	2275511183	1582397396089	147451	20.000
66	2275560	2275560620	2275544520	1582397396123	149080	20.000
67	2275593	2275593958	2275577858	1582397396156	150708	20.000
68	2275627	2275627296	2275611196	1582397396189	152338	20.000
69	2275660	2275660634	2275644534	1582397396223	153964	20.000
70	2275693	2275693971	2275677871	1582397396256	155590	20.000
71	2275727	2275727309	2275711209	1582397396289	157239	20.000
72	2275760	2275760647	2275744547	1582397396323	158848	20.000
73	2275793	2275793985	2275777885	1582397396356	160471	20.000
74	2275827	2275827322	2275811222	1582397396389	162332	20.000
75	2275860	2275860660	2275844560	1582397396423	163730	20.000
76	2275893	2275893998	2275877898	1582397396456	165360	20.000
77	2275927	2275927335	2275911235	1582397396489	166982	20.000
78	2275960	2275960673	2275944573	1582397396523	168611	20.000
79	2275994	2275994011	2275977911	1582397396556	170239	20.000
80	2276027	2276027349	2276011249	1582397396589	171866	20.000
81	2276060	2276060686	2276044586	1582397396623	173495	20.000
82	2276094	2276094024	2276077924	1582397396656	175122	20.000
83	2276127	2276127362	2276111262	1582397396689	176754	20.000
84	2276160	2276160700	2276144600	1582397396723	178378	20.000
85	2276194	2276194037	2276177937	1582397396756	180004	20.000
86	2276227	2276227375	2276211275	1582397396789	181666	20.000
87	2276260	2276260713	2276244613	1582397396823	183263	20.000
88	2276294	2276294050	2276277950	1582397396856	184885	20.000
89	2276327	2276327388	2276311288	1582397396889	186537	20.000
90	2276360	2276360726	2276344626	1582397396923	188142	20.000
91	2276394	2276394064	2276377964	1582397396956	189771	20.000
92	2276427	2276427401	2276411301	1582397396989	191397	20.000
93	2276460	2276460739	2276444639	1582397397023	192809	20.000
