FrameCount	TimeStamp	FrameTs	SensorTs	ArrivalTs	TDT_Sample
0	1146698	1146698331	1146682231	1582396267375	76413
1	1146731	1146731668	1146715568	1582396267408	79318
2	1146765	1146765006	1146748906	1582396267442	80856
3	1146798	1146798344	1146782244	1582396267475	81734
4	1146831	1146831682	1146815582	1582396267509	82695
5	1146865	1146865019	1146848919	1582396267542	84314
6	1146898	1146898357	1146882257	1582396267576	86039
7	1146931	1146931695	1146915595	1582396267609	87734
8	1146965	1146965032	1146948932	1582396267642	89223
9	1146998	1146998370	1146982270	1582396267675	90844
10	1147031	1147031708	1147015608	1582396267708	92460
11	1147065	1147065046	1147048946	1582396267742	94081
12	1147098	1147098383	1147082283	1582396267775	95720
13	1147131	1147131721	1147115621	1582396267808	97658
14	1147165	1147165059	1147148959	1582396267842	98964
15	1147198	1147198397	1147182297	1582396267875	100590
16	1147231	1147231734	1147215634	1582396267908	102465
17	1147265	1147265072	1147248972	1582396267942	103851
18	1147298	1147298410	1147282310	1582396267975	105472
19	1147331	1147331747	1147315647	1582396268008	107265
20	1147365	1147365085	1147348985	1582396268042	108735
21	1147398	1147398423	1147382323	1582396268075	110360
22	1147431	1147431761	1147415661	1582396268108	111990
23	1147465	1147465098	1147448998	1582396268142	113613
24	1147498	1147498436	1147482336	1582396268175	115245
25	1147531	1147531774	1147515674	1582396268208	117032
26	1147565	1147565111	1147549011	1582396268242	118562
27	1147598	1147598449	1147582349	1582396268275	120125
28	1147631	1147631787	1147615687	1582396268308	121755
29	1147665	1147665125	1147649025	1582396268342	123392
30	1147698	1147698462	1147682362	1582396268375	125007
31	1147731	1147731800	1147715700	1582396268408	126922
32	1147765	1147765138	1147749038	1582396268442	128267
33	1147798	1147798476	1147782376	1582396268475	129904
34	1147831	1147831813	1147815713	1582396268508	131522
35	1147865	1147865151	1147849051	1582396268542	133153
36	1147898	1147898489	1147882389	1582396268575	134768
37	1147931	1147931826	1147915726	1582396268608	136563
38	1147965	1147965164	1147949064	1582396268642	138033
39	1147998	1147998502	1147982402	1582396268675	139864
40	1148031	1148031840	1148015740	1582396268708	141287
41	1148065	1148065177	1148049077	1582396268742	142920
42	1148098	1148098515	1148082415	1582396268775	144544
43	1148131	1148131853	1148115753	1582396268808	146204
44	1148165	1148165191	1148149091	1582396268842	147800
45	1148198	1148198528	1148182428	1582396268875	149427
46	1148231	1148231866	1148215766	1582396268909	151076
47	1148265	1148265204	1148249104	1582396268942	152685
48	1148298	1148298541	1148282441	1582396268975	154310
49	1148331	1148331879	1148315779	1582396269008	156266
50	1148365	1148365217	1148349117	1582396269042	157568
51	1148398	1148398555	1148382455	1582396269075	159193
52	1148431	1148431892	1148415792	1582396269108	160829
53	1148465	1148465230	1148449130	1582396269142	162469
54	1148498	1148498568	1148482468	1582396269175	164075
55	1148531	1148531906	1148515806	1582396269208	165859
56	1148565	1148565243	1148549143	1582396269242	167331
57	1148598	1148598581	1148582481	1582396269275	168958
58	1148631	1148631919	1148615819	1582396269308	170588
59	1148665	1148665256	1148649156	1582396269342	172208
60	1148698	1148698594	1148682494	1582396269375	173837
61	1148731	1148731932	1148715832	1582396269408	175625
62	1148765	1148765270	1148749170	1582396269442	177331
63	1148798	1148798607	1148782507	1582396269475	178725
64	1148831	1148831945	1148815845	1582396269508	180353
65	1148865	1148865283	1148849183	1582396269542	182010
66	1148898	1148898620	1148882520	1582396269575	183607
67	1148931	1148931958	1148915858	1582396269608	185390
68	1148965	1148965296	1148949196	1582396269642	186864
69	1148998	1148998634	1148982534	1582396269675	188489
70	1149031	1149031971	1149015871	1582396269708	190120
71	1149065	1149065309	1149049209	1582396269742	191753
72	1149098	1149098647	1149082547	1582396269775	193386
73	1149131	1149131985	1149115885	1582396269808	195156
74	1149165	1149165322	1149149222	1582396269842	196642
75	1149198	1149198660	1149182560	1582396269875	198272
76	1149231	1149231998	1149215898	1582396269909	199895
77	1149265	1149265335	1149249235	1582396269942	201524
78	1149298	1149298673	1149282573	1582396269975	203152
79	1149332	1149332011	1149315911	1582396270009	205045
80	1149365	1149365349	1149349249	1582396270042	206409
81	1149398	1149398686	1149382586	1582396270075	208038
82	1149432	1149432024	1149415924	1582396270109	209671
83	1149465	1149465362	1149449262	1582396270142	211299
84	1149498	1149498700	1149482600	1582396270175	212926
85	1149532	1149532037	1149515937	1582396270209	214802
86	1149565	1149565375	1149549275	1582396270242	216173
87	1149598	1149598713	1149582613	1582396270275	217808
88	1149632	1149632050	1149615950	1582396270308	219488
89	1149665	1149665388	1149649288	1582396270342	221072
90	1149698	1149698726	1149682626	1582396270375	222678
91	1149732	1149732064	1149715964	1582396270408	224453
92	1149765	1149765401	1149749301	1582396270442	225941
93	1149798	1149798739	1149782639	1582396270475	227563
94	1149832	1149832077	1149815977	1582396270508	229202
95	1149865	1149865415	1149849315	1582396270542	230817
96	1149898	1149898752	1149882652	1582396270575	232446
97	1149932	1149932090	1149915990	1582396270608	234219
98	1149965	1149965428	1149949328	1582396270642	235877
99	1149998	1149998765	1149982665	1582396270675	237335
100	1150032	1150032103	1150016003	1582396270708	238960
101	1150065	1150065441	1150049341	1582396270742	240592
102	1150098	1150098779	1150082679	1582396270775	242215
103	1150132	1150132116	1150116016	1582396270808	243984
104	1150165	1150165454	1150149354	1582396270842	245480
105	1150198	1150198792	1150182692	1582396270875	247096
106	1150232	1150232129	1150216029	1582396270908	248723
107	1150265	1150265467	1150249367	1582396270942	250363
108	1150298	1150298805	1150282705	1582396270975	251978
109	1150332	1150332143	1150316043	1582396271008	253875
110	1150365	1150365480	1150349380	1582396271042	255241
111	1150398	1150398818	1150382718	1582396271075	257128
112	1150432	1150432156	1150416056	1582396271108	258499
113	1150465	1150465494	1150449394	1582396271142	260118
114	1150498	1150498831	1150482731	1582396271175	261738
115	1150532	1150532169	1150516069	1582396271208	263639
116	1150565	1150565507	1150549407	1582396271242	265009
117	1150598	1150598844	1150582744	1582396271275	266624
118	1150632	1150632182	1150616082	1582396271308	268247
119	1150665	1150665520	1150649420	1582396271342	269877
120	1150698	1150698858	1150682758	1582396271375	271507
121	1150732	1150732195	1150716095	1582396271408	273606
122	1150765	1150765533	1150749433	1582396271442	274777
123	1150798	1150798871	1150782771	1582396271475	276388
124	1150832	1150832209	1150816109	1582396271508	278059
125	1150865	1150865546	1150849446	1582396271542	279645
126	1150898	1150898884	1150882784	1582396271575	281271
127	1150932	1150932222	1150916122	1582396271608	283047
128	1150965	1150965559	1150949459	1582396271642	284527
129	1150998	1150998897	1150982797	1582396271675	286151
130	1151032	1151032235	1151016135	1582396271708	287784
131	1151065	1151065573	1151049473	1582396271742	289414
132	1151098	1151098910	1151082810	1582396271775	291036
133	1151132	1151132248	1151116148	1582396271808	292812
134	1151165	1151165586	1151149486	1582396271842	294304
135	1151198	1151198924	1151182824	1582396271875	295911
136	1151232	1151232261	1151216161	1582396271908	297550
137	1151265	1151265599	1151249499	1582396271942	299267
138	1151298	1151298937	1151282837	1582396271975	300827
139	1151332	1151332274	1151316174	1582396272008	302578
140	1151365	1151365612	1151349512	1582396272042	304072
141	1151398	1151398950	1151382850	1582396272075	305692
142	1151432	1151432288	1151416188	1582396272108	307312
143	1151465	1151465625	1151449525	1582396272142	307877
